Model,RMSE,R2 Score
LightGBM (RandomSearch),29160860.24026534,0.8055993929943253
XGBoost (RandomSearch),29502429.039145198,0.8010185906099484
Linear Regression,33394697.891895123,0.7450517756093997
Decision Tree,41837144.88373316,0.5998516486591996
